Year,State,Crime_Type,Reported_Cases,Solved_Cases,Latitude,Longitude
2020,Maharashtra,Theft,11500,7100,19.0760,72.8777
2020,Maharashtra,Assault,7900,5300,19.0760,72.8777
2020,Maharashtra,Murder,790,710,19.0760,72.8777
2020,Maharashtra,Cyber Crime,4500,1600,19.0760,72.8777
2020,Maharashtra,Kidnapping,1050,720,19.0760,72.8777
2020,Maharashtra,Rioting,420,300,19.0760,72.8777
2020,Delhi,Theft,13100,7500,28.7041,77.1025
2020,Delhi,Assault,8500,5800,28.7041,77.1025
2020,Delhi,Murder,860,770,28.7041,77.1025
2020,Delhi,Cyber Crime,5500,1800,28.7041,77.1025
2020,Delhi,Kidnapping,1250,850,28.7041,77.1025
2020,Delhi,Rioting,650,520,28.7041,77.1025
2020,Uttar Pradesh,Theft,14200,7900,26.8467,80.9462
2020,Uttar Pradesh,Assault,10500,7100,26.8467,80.9462
2020,Uttar Pradesh,Murder,1280,1140,26.8467,80.9462
2020,Uttar Pradesh,Cyber Crime,2500,750,26.8467,80.9462
2020,Uttar Pradesh,Kidnapping,1750,1180,26.8467,80.9462
2020,Uttar Pradesh,Rioting,850,620,26.8467,80.9462
2020,Karnataka,Theft,9200,5800,12.9716,77.5946
2020,Karnataka,Assault,6100,4100,12.9716,77.5946
2020,Karnataka,Murder,630,570,12.9716,77.5946
2020,Karnataka,Cyber Crime,5100,1850,12.9716,77.5946
2020,Karnataka,Kidnapping,900,650,12.9716,77.5946
2020,Karnataka,Rioting,320,260,12.9716,77.5946
2020,Tamil Nadu,Theft,8900,5900,13.0827,80.2707
2020,Tamil Nadu,Assault,5800,4200,13.0827,80.2707
2020,Tamil Nadu,Murder,590,530,13.0827,80.2707
2020,Tamil Nadu,Cyber Crime,4200,1500,13.0827,80.2707
2020,Tamil Nadu,Kidnapping,850,610,13.0827,80.2707
2020,Tamil Nadu,Rioting,300,240,13.0827,80.2707
2020,Rajasthan,Theft,7500,4800,26.9124,75.7873
2020,Rajasthan,Assault,5200,3800,26.9124,75.7873
